Conflict_ID,Route id,Exit_Signal,Point,Position,In Route,Conflict_Route_id,Exit_Signal,Point_Position,In_Route,Unless_Condition,Conflicted
FKS/R455A-FKS/R712A,FKS/R455A,FKS/S557,FKS/P459,reverse,TRUE,FKS/R712A,FKS/S714,normal,FALSE,unless_pseudo_normal,YES
FKS/R455A-FKS/R714A,FKS/R455A,FKS/S557,FKS/P459,reverse,TRUE,FKS/R714A,TSS/S806,normal,FALSE,unless_pseudo_normal,YES
FKS/R712A-FKS/R455A,FKS/R712A,FKS/S714,FKS/P459,normal,FALSE,FKS/R455A,FKS/S557,reverse,TRUE,unless_pseudo_normal,YES
FKS/R712A-FKS/R713B,FKS/R712A,FKS/S714,FKS/P459,normal,FALSE,FKS/R713B,FKS/S455,reverse,FALSE,unless_pseudo_normal,YES
FKS/R714A-FKS/R455A,FKS/R714A,TSS/S806,FKS/P459,normal,FALSE,FKS/R455A,FKS/S557,reverse,TRUE,unless_pseudo_normal,YES
FSA/R142A-FSA/R144B,FSA/R142A,FSD/S146,FSD/P055,normal,FALSE,FSA/R144B,FSD/S156,reverse,FALSE,unless_pseudo_reverse,YES
FSA/R142A-FSA/R154A,FSA/R142A,FSD/S146,FSD/P055,normal,FALSE,FSA/R154A,FSD/S156,reverse,FALSE,unless_pseudo_reverse,YES
FSA/R144A-FSA/R154A,FSA/R144A,FSD/S146,FSD/P055,reverse,FALSE,FSA/R154A,FSD/S156,normal,FALSE,unless_pseudo_reverse,YES
FSA/R144B-FSA/R142A,FSA/R144B,FSD/S156,FSD/P055,reverse,FALSE,FSA/R142A,FSD/S146,normal,FALSE,unless_pseudo_reverse,YES
FSA/R144B-FSD/R146A,FSA/R144B,FSD/S156,FSD/P055,reverse,FALSE,FSD/R146A,FSD/S160,normal,TRUE,unless_pseudo_reverse,YES
FSA/R144B-FSD/R146B,FSA/R144B,FSD/S156,FSD/P046,normal,FALSE,FSD/R146B,FSD/S318,reverse,TRUE,unless_pseudo_normal,YES
FSA/R144B-FSD/R146B,FSA/R144B,FSD/S156,FSD/P055,reverse,FALSE,FSD/R146B,FSD/S318,normal,FALSE,unless_pseudo_reverse,YES
FSA/R144B-FSD/R155B,FSA/R144B,FSD/S156,FSD/P055,reverse,FALSE,FSD/R155B,FSD/S147,normal,TRUE,unless_pseudo_reverse,YES
FSA/R144B-FSD/R315B,FSA/R144B,FSD/S156,FSD/P046,normal,FALSE,FSD/R315B,FSD/S147,reverse,TRUE,unless_pseudo_normal,YES
FSA/R144B-FSD/R315B,FSA/R144B,FSD/S156,FSD/P055,reverse,FALSE,FSD/R315B,FSD/S147,normal,FALSE,unless_pseudo_reverse,YES
FSA/R154A-FSA/R142A,FSA/R154A,FSD/S156,FSD/P055,reverse,FALSE,FSA/R142A,FSD/S146,normal,FALSE,unless_pseudo_reverse,YES
FSA/R154A-FSA/R144A,FSA/R154A,FSD/S156,FSD/P055,reverse,FALSE,FSA/R144A,FSD/S146,normal,FALSE,unless_pseudo_reverse,YES
FSA/R154A-FSD/R146A,FSA/R154A,FSD/S156,FSD/P055,reverse,FALSE,FSD/R146A,FSD/S160,normal,TRUE,unless_pseudo_reverse,YES
FSA/R154A-FSD/R146B,FSA/R154A,FSD/S156,FSD/P046,normal,FALSE,FSD/R146B,FSD/S318,reverse,TRUE,unless_pseudo_normal,YES
FSA/R154A-FSD/R146B,FSA/R154A,FSD/S156,FSD/P055,reverse,FALSE,FSD/R146B,FSD/S318,normal,FALSE,unless_pseudo_reverse,YES
FSA/R154A-FSD/R155B,FSA/R154A,FSD/S156,FSD/P055,reverse,FALSE,FSD/R155B,FSD/S147,normal,TRUE,unless_pseudo_reverse,YES
FSA/R154A-FSD/R315B,FSA/R154A,FSD/S156,FSD/P046,normal,FALSE,FSD/R315B,FSD/S147,reverse,TRUE,unless_pseudo_normal,YES
FSA/R154A-FSD/R315B,FSA/R154A,FSD/S156,FSD/P055,reverse,FALSE,FSD/R315B,FSD/S147,normal,FALSE,unless_pseudo_reverse,YES
FSA/R314A-FSD/R146B,FSA/R314A,FSD/S316,FSD/P215,normal,FALSE,FSD/R146B,FSD/S318,reverse,TRUE,unless_pseudo_normal,YES
FSA/R314A-FSD/R315B,FSA/R314A,FSD/S316,FSD/P215,normal,FALSE,FSD/R315B,FSD/S147,reverse,TRUE,unless_pseudo_normal,YES
FSA/R583B-FSA/R460A,FSA/R583B,FSA/S479,,,,FSA/R460A,FSA/S572,,,,YES
FSA/R583B-FSA/R570D,FSA/R583B,FSA/S479,,,,FSA/R570D,FSA/S572,,,,YES
FSB/R586B-FSB/R739A,FSB/R586B,FSB/S694,FSB/P636,reverse,TRUE,FSB/R739A,FSB/S737,normal,FALSE,unless_pseudo_normal,YES
FSB/R735A-FSB/R743A,FSB/R735A,FSB/S733,FSB/P641,reverse,TRUE,FSB/R743A,FSB/S741,normal,FALSE,unless_pseudo_normal,YES
FSB/R736A-FSB/R743A,FSB/R736A,FSB/S690,FSB/P641,reverse,TRUE,FSB/R743A,FSB/S741,normal,FALSE,unless_pseudo_normal,YES
FSB/R736B-FSB/R743A,FSB/R736B,FSB/S694,FSB/P641,reverse,TRUE,FSB/R743A,FSB/S741,normal,FALSE,unless_pseudo_normal,YES
FSB/R739A-FSB/R586B,FSB/R739A,FSB/S737,FSB/P636,normal,FALSE,FSB/R586B,FSB/S694,reverse,TRUE,unless_pseudo_normal,YES
FSB/R739A-FSB/R743B,FSB/R739A,FSB/S737,FSB/P636,normal,FALSE,FSB/R743B,FSB/S735,reverse,TRUE,unless_pseudo_normal,YES
