Track ID,Track Type,Related Real Track
BBH/T305,Dark Territory Approach Track,
BEL/T104,Dark Territory Approach Track,
CHL/T703,Dark Territory Approach Track,
FKS/T198,Phantom Approach Track,FKS/T559
FKS/T204,Phantom Track,FKS/T559
FKS/T411,Phantom Approach Track,FKS/T557IA
FKS/T485IB,Phantom Track,FKS/T485IA
FKS/T557IB,Phantom Track,FKS/T557IA
FKS/T571,Phantom Track,FKS/T614
FKS/T608,Phantom Track,FKS/T606
FKS/T618IA,Phantom Track,FKS/T618IB
FKS/T640,Phantom Track,FKS/T459
FKS/T816,Phantom Approach Track,FKS/T618IB
FKS/T847,Phantom Approach Track,FKS/T714
FKS/T855,Phantom Track,FKS/T714
FKS/T886,Phantom Approach Track,FKS/T606
FSA/T026,Phantom Track,FSA/T572
FSA/T028,Phantom Approach Track,FSA/T572
FSA/T029,Phantom Approach Track,FSA/T449
FSA/T030,Phantom Approach Track,FSA/T451
FSA/T031,Phantom Track,FSA/T449
FSA/T032,Phantom Track,FSA/T451
FSA/T050,Phantom Approach Track,FSA/T231
FSA/T060,Phantom Track,FSA/T630
FSA/T070,Phantom Approach Track,FSA/T730
FSA/T741,Dark Territory Approach Track,
FSA/T827IA,Phantom Approach Track,FSA/T451
FSA/T836IA,Phantom Approach Track,FSA/T570
FSA/T851,Phantom Track,FSA/T632
FSA/T865,Phantom Track,FSA/T583
FSA/T866,Phantom Approach Track,FSA/T584
FSA/T872,Phantom Approach Track,FSA/T231
FSA/T875,Phantom Approach Track,FSA/T651
FSE/T036,Phantom Approach Track,FSE/T224
FSE/T052,Phantom Track,FSE/T224
FSE/T067,Phantom Approach Track,FSE/T265
FSE/T075,Phantom Track,FSE/T265
FSE/T856IA,Phantom Approach Track,FSE/T757
FSE/T860,Phantom Track,FSE/T762
FSE/T863IA,Phantom Track,FSE/T750
FSE/T873,Phantom Approach Track,FSE/T616
GRN/T731,Dark Territory Approach Track,
NME/T401,Phantom Approach Track,NMU/T471
NME/T406,Dark Territory Approach Track,
NME/T480,Dark Territory Approach Track,
NME/T481,Phantom Approach Track,NMU/T481
NME/T482,Dark Territory Approach Track,
NME/T484,Dark Territory Approach Track,
NME/T634,Dark Territory Approach Track,
NME/T789,Phantom Approach Track,FKS/T789
KEN/T492,Dark Territory Approach Track,
NME/TK556,Dark Territory Approach Track,
NMU/T508,Phantom Approach Track,NME/T508
NMU/T550,Phantom Approach Track,NME/T550
SHM/T318,Dark Territory Approach Track,
SHM/T320,Dark Territory Approach Track,
SSN/T006,Phantom Track,SSN/T487
SSN/T009,Phantom Approach Track,SSN/T606
